access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,street_address,zip,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_pricing,ev_renewable_source,access_days_time_fr,intersection_directions_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids.station,ev_network_ids.posts
24 hours daily; parking fee required; valet required,,,2022-04-13,,Public,84029,2016-06-15,P,E,False,Fairmont Hotel,604-695-5300,2023-03-31T20:19:12Z,HOTEL,200-8,49.288205,-123.11568,Vancouver,,1038 Canada Pl,V6C 0B9,['J1772'],,,2.0,Non-Networked,,Free,,24 heures par jour; ouvert tous les jours frais de stationnement requis; vallée requise,,Public,Gratuit,,
24 hours daily,,,2022-07-08,,Public,84039,2013-12-25,P,E,False,Kamloops Visitor Centre,250-372-8000,2023-04-10T20:30:18Z,TRAVEL_CENTER,GPS,50.6548516182665,-120.3679324246064,Kamloops,,1290 W Trans Canada Hwy,V2C 6R3,['J1772'],,,1.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily; by reservation only; see front desk for access,CALL,,2018-03-08,,Public - Call ahead,84042,2015-09-01,P,E,True,Liquidity Wines,778-515-5550,2022-04-28T20:01:31Z,RESTAURANT,200-9,49.322841,-119.548607,Okanagan Falls,,4720 Allendale Rd,V0H 1R2,['J1772'],,,1.0,Non-Networked,,Free,,Accessible 24 heures par jour; par rÃ©servation seulement; veuillez vous prÃ©sentez Ã  la rÃ©ception pour avoir accÃ¨s,,Public - Appeler à l'avance,Gratuit,,
24 hours daily,,,2021-08-03,,Public,84048,2015-12-15,P,E,False,Pender Harbour Hotel,604-883-9013,2022-06-20T22:46:35Z,HOTEL,200-9,49.622909,-124.020729,Madeira Park,,12671 Sunshine Coast Hwy,V0N 2H1,['J1772'],,,2.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily; see front desk for access,,,2023-04-05,,Public,84049,2015-03-15,P,E,True,Best Western - Sicamous Inn,250-836-4117,2023-04-10T20:30:18Z,HOTEL,200-9,50.838666,-118.969672,Sicamous,,806 Trans Canada Hwy,V0E 2V0,['J1772'],,,1.0,Non-Networked,,Free,,24 heures par jour; Voir la réception pour avoir accès,,Public,Gratuit,,
11am-5pm daily; Customers only,,,2023-04-05,,Public,84125,2012-03-15,P,E,True,Blackhills Wine Experience Centre,250-498-0666,2023-04-10T20:30:18Z,BREWERY_DISTILLERY_WINERY,200-9,49.108884,-119.55065,Oliver,Located on loading dock shed at north end of parking lot,4190 Black Sage Rd,V0H 1T1,['J1772'],,,1.0,Non-Networked,,Free,,11:00-17:00 tous les jours; clients uniquement,Située dans le batiment Winemakers au nord du stationnement,Public,Gratuit,,
6am- 10pm daily; parking fee required,,,2019-11-08,,Public,84137,2013-12-01,P,E,False,British Columbia Institute of Technology - Downtown Campus,604-451-6875,2021-06-07T17:08:43Z,COLLEGE_CAMPUS,200-8,49.283447,-123.114722,Vancouver,,545 Seymour St,V6B 3H6,['J1772'],,,2.0,Non-Networked,,Free,HYDRO,6:00-22:00 tous les jours; frais de stationnement requis,,Public,Gratuit,,
24 hours daily,,,2023-03-08,,Public,84138,2013-03-15,LG,E,False,Regional District Of Mount Waddington - Woss EV Charging Station,250-956-3301,2023-04-10T20:30:18Z,GAS_STATION,200-8,50.213905,-126.595277,Woss,Off Hwy 19 on Englewood Drive. On water pump house building just down from the gas station.,3009 Englewood Dr,V0N 2R0,['J1772'],,,1.0,Non-Networked,,Free,,24 heures par jour,À la sortie de l'Autoroute 19 sur la promenade Englewood. Sur la maison de la pompe à eau en face de la station d'essence.,Public,Gratuit,,
24 hours daily,,,2022-07-08,,Public,84141,2016-09-15,P,E,False,Brodeur's Bistro,604-746-5900,2023-04-10T20:30:18Z,RESTAURANT,GPS,49.06620983722838,-122.3804885447052,Abbotsford,,3550 Mt Lehman Rd,V4X 2M9,['J1772'],,,1.0,Non-Networked,,,,24 heures par jour,,Public,,,
24 hours daily; 3 hours maximum,,,2021-08-03,,Public,84142,2015-05-06,P,E,False,Meadow Park Sports Centre,604-935-7529,2022-04-26T16:04:15Z,REC_SPORTS_FACILITY,200-8,50.146456,-122.959947,Whistler,,8625 Highway 99,V0N 1B8,['J1772'],,,4.0,Non-Networked,,Free,,24 heures par jour; maximum de 3 heures,,Public,Gratuit,,
24 hours daily,,,2022-08-09,,Public,84143,2017-03-15,P,E,False,Brooks Landing Mall,604-468-7214,2023-04-10T20:30:18Z,SHOPPING_CENTER,200-8,49.19094,-123.968111,Nanaimo,,2000 Island Hwy N,V9S 5W3,['J1772'],,,1.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2023-04-05,,Public,84159,2015-06-01,P,E,False,BC Hydro - Trail Bay Mall,604-740-8469,2023-04-10T20:30:18Z,PARKING_LOT,GPS,49.4721921,-123.7619572,Sechelt,,5755 Cowrie St,V0N 3A0,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$.21 per hour,,24 heures par jour,,Public,$.21 par heure,,
24 hours daily,,,2020-04-10,,Public,84164,2016-03-01,P,E,False,Westbank United Church,855-900-7584,2021-06-07T17:08:43Z,PLACE_OF_WORSHIP,200-9,49.830239,-119.628203,Central Okanagan,,3678 Brown Rd,V4T 1Z1,"['CHADEMO', 'J1772COMBO']",2.0,,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,$0.35 per kWh,,Accessible 24 heures par jour,,Public,$ 0.35 per kWh,,
Dealership business hours; for client use only; Drivers must bring their own J1772 cordset for Level 1 charging,CALL,,2022-07-08,,Public - Call ahead,84182,2013-03-15,P,E,True,Kelowna Infiniti Nissan,250-712-0404,2023-04-10T20:30:18Z,CAR_DEALER,200-9,49.889576,-119.428027,Kelowna,,2741 Highway 97 N,V1X 4J8,"['J1772', 'NEMA520']",,1.0,1.0,Non-Networked,,Free,,Heures d'ouverture du concessionnaire; Ã  l'usage des clients seulement,,Public - Appeler à l'avance,Gratuit,,
9am-7pm M-Sat,,,2022-07-08,,Public,84184,2017-03-01,P,E,False,Kelowna Chevrolet,250-860-6000,2023-04-10T20:30:18Z,CAR_DEALER,GPS,49.88404439241558,-119.4312585595245,Kelowna,,2350 Highway 97 N,V1Y 6G8,['J1772'],,,4.0,Non-Networked,,Free,,9:00-19:00 LUN-SAM,,Public,Gratuit,,
10am-5pm daily; for client use only,,,2018-01-03,,Public,84189,2017-03-30,P,E,True,Concord Pacific's False Creek Seawall,604-899-8800,2022-04-28T20:01:31Z,OTHER_ENTERTAINMENT,,49.27673679999999,-123.1070423,Vancouver,,88 Pacific Blvd,V6Z 2R6,['J1772'],,,1.0,Non-Networked,,Free,,10:00-17:00 tous les jours; Ã  l'usage des clients seulement,,Public,Gratuit,,
10am-5pm daily; open from March to June,,,2020-03-05,,Public,84192,2018-03-31,P,E,False,West Coast Railway Heritage Park,604-898-9336,2021-06-07T17:08:43Z,PARK,200-9,49.728645,-123.159901,Squamish,,39645 Government Rd,V5C 2K3,['J1772'],,,1.0,Non-Networked,,Free,,10:00-17:00 tous les jours; ouvert en Mars jusqu'en Juin,,Public,Gratuit,,
24 hours daily,,,2022-07-08,,Public,84197,2013-05-15,LG,E,False,District Office Parking Lot,250-783-9901,2023-04-10T20:30:18Z,OFFICE_BLDG,GPS,56.02604394995461,-121.9144368505401,Hudson's Hope,,9904 Dudley Dr,V0C 1V0,['J1772'],,,1.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2019-07-10,,Public,84198,2014-03-15,LG,E,False,Town of Hope,604-860-0930,2021-06-07T17:08:43Z,STREET_PARKING,GPS,49.37986855894777,-121.4414873399505,Hope,In a dedicated street parking stall opposite The Blue Moose Cafe,325 Wallace St,V0X 1L0,['J1772'],,,1.0,Non-Networked,,Free,,Accessible 24 heures par jour,"Stationnement reservée dans la rue, près du café Blue Moose",Public,Gratuit,,
24 hours daily,,A Cash D Debit M V,2022-07-08,,Public,84200,2020-08-28,LG,E,False,District of Invermere Municipal Office,250-342-9281,2023-04-10T20:30:18Z,MUNI_GOV,200-9,50.505845,-116.030617,Invermere,Located on the east wall of the Municipal Building facing 8th avenue north,914 8th Ave,V0A 1K0,['J1772'],,,1.0,Non-Networked,,"$3 per hour first 4 hours, $6 per hour for any additional hours",,Accessible 24 heures par jour,"Située sur le mur est du bâtiment municipal, orientée vers 8th avenue Nord",Public,"$3 de l'heure pour les 4 premieres heures, $6 de l'heure pour les heures suplementaires",,
24 hours daily,,,2020-09-03,,Public,84201,2014-05-15,P,E,False,Dockside Realty,866-629-3166,2022-04-07T19:22:13Z,OFFICE_BLDG,200-9,48.803219,-123.276478,Pender Island,,4301 Bedwell Harbour Rd,V0N 2M1,['J1772'],,,1.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
"24 hours daily, donation box available",,,2020-03-05,,Public,84204,2013-09-15,P,E,False,Artspring,250-537-2102,2021-06-07T17:08:43Z,OTHER_ENTERTAINMENT,GPS,48.8523844439329,-123.502952661377,Salt Spring Island,,100 Jackson Ave,V8K 2V8,['J1772'],,,2.0,Non-Networked,,Free,,"Accessible 24 heures par jour, (il y a une boite de don)",,Public,Gratuit,,
24 hours daily,,,2021-09-09,,Public,84207,2013-06-15,P,E,False,University Village Shopping Centre,250-754-4471  250-714-2729,2022-07-27T18:49:10Z,SHOPPING_CENTER,200-8,49.155138,-123.95132,Nanaimo,,530 5th St,V9R 1P2,['J1772'],,,2.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2022-07-08,,Public,84209,2013-03-20,P,E,False,Egmont Heritage Centre,604-883-9994,2023-04-10T20:30:18Z,MUNI_GOV,GPS,49.75066878978967,-123.9357206772461,Egmont,,6671 Egmont Rd,V0N 1N0,['J1772'],,,2.0,Non-Networked,,Free,,24 heures par jour,,Public,Gratuit,,
8am-6pm M-F; for customers only,,,2022-09-14,,Public,84211,2014-03-15,P,E,True,Ethical Bean Coffee,604-431-3830,2023-04-10T20:30:18Z,RESTAURANT,200-8,49.272879,-123.027636,Vancouver,,1315 Kootenay St,V5K 4Y3,['J1772'],,,2.0,Non-Networked,,Free,,8:00-18:00 LUN-VEN; suels les clients,,Public,Gratuit,,
"8am-5pm M-F, 8am-4pm Sat",CALL,,2022-08-09,,Public - Call ahead,84225,2011-06-15,P,E,False,Huber Bannister Chevrolet,250-493-2333,2023-04-10T20:30:18Z,CAR_DEALER,200-9,49.497712,-119.60592,Penticton,,933 Westminster Ave W,V2A 1L1,"['J1772', 'J1772COMBO']",1.0,,1.0,Non-Networked,,Free,,"8:00-17:00 LUN-VEN, 8:00-16:00 SAM",,Public - Appeler à l'avance,Gratuit,,
24 hours daily,,,2020-03-05,,Public,84235,2015-03-15,LG,E,False,The District of Central Saanich,250-544-4219  250-652-4444,2021-06-07T17:08:43Z,MUNI_GOV,200-9,48.594755,-123.421119,Saanichton,,1903 Mt Newton Cross Rd,V8M 2A9,['J1772'],,,2.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2022-08-09,,Public,84236,2016-08-15,P,E,False,Fernwood Road Cafe,250-931-2233,2023-04-10T20:30:18Z,RESTAURANT,200-9,48.914857,-123.533169,Salt Spring Island,,325 Fernwood Rd,V8K 1C3,['J1772'],,,1.0,Non-Networked,,Free,,24 heures par jour,,Public,Gratuit,,
"5:30am-10pm M-F, 6am-8pm Sat, 7am-7pm Sun; 2 hours maximum",,,2021-08-03,,Public,84237,2015-05-25,P,E,False,The Bay Centre Parking Lot,250-382-4411,2023-03-31T19:51:55Z,PAY_GARAGE,200-9,48.425067,-123.365639,Victoria,,1150 Douglas St,V8W 3M9,['J1772'],,,4.0,Non-Networked,,"Charging free, parking fee required",,"5:30-22:00 LUN-VEN, 6:00-20:00 Sam, 7:00-19:00 DIM; 2 heures maximum",,Public,"Recharge gratuite, frais de stationnement requis",,
24 hours daily,,,2023-04-05,,Public,84242,2016-10-15,P,E,False,The Rental Stop,866-538-0388,2023-04-10T20:30:18Z,SHOPPING_CENTER,200-9,48.853388,-123.516088,Salt Spring Island,,327 Rainbow Rd,V8K 2M4,['J1772'],,,1.0,Non-Networked,,Free,,24 heures par jour,,Public,Gratuit,,
24 hours daily; for guest use only; see front desk for access,,,2022-04-13,,Public,84257,2011-03-15,P,E,True,St. Regis Hotel,,2022-04-26T16:04:15Z,HOTEL,200-9,49.28297,-123.115965,Vancouver,Located in underground parking lot,602 Dunsmuir St,V6B 1Y6,['J1772'],,,2.0,Non-Networked,,Free; parking fee required,,24 heures par jour; Ã  l'usage des clients seulement; rendez-vous Ã  la rÃ©ception pour avoir accÃ¨s,Située dans le stationnement sous-terrain,Public,Gratuit; frais de stationnement requis,,
24 hours daily,,,2020-04-10,,Public,84262,2015-05-15,LG,E,False,Town of Sidney - Town Hall,250-656-1184,2021-06-07T17:08:43Z,MUNI_GOV,200-9,48.650394,-123.398404,Sidney,,2440 Sidney Ave,V8L 1Y7,['J1772'],,,2.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2023-04-05,,Public,84264,2018-05-24,P,E,False,District of Sicamous,250-836-2477,2023-04-10T20:30:18Z,MUNI_GOV,200-9,50.836732,-118.98273,Sicamous,Enter via Finlayson St,446 Main St,V0E 2V0,['J1772'],,,1.0,Non-Networked,,Free,,24 heures par jour,Entrez via Finlayson St,Public,Gratuit,,
24 hours daily; parking fee required for non-guests,CALL,A Cash D Debit M V,2021-08-03,,Public - Call ahead,84266,2015-02-01,P,E,False,Shangri-La Hotel,604-689-1120,2022-04-26T16:04:15Z,HOTEL,200-9,49.285762,-123.123947,Vancouver,,1128 W Georgia St,V6E 0A8,['J1772'],,,1.0,Non-Networked,,Free,,24 heures par jour; frais de stationnement requis pour les non-clients,,Public - Appeler à l'avance,Gratuit,,
9am-8pm daily,,Cash Debit M V,2022-04-13,,Public,84268,2015-03-15,P,E,False,Sayward Valley Resort,250-282-3204,2022-04-26T16:04:15Z,HOTEL,200-9,50.315542,-125.919635,Sayward,,1546 Sayward Rd,V0P 1R0,['J1772'],,,1.0,Non-Networked,,$5 per session,,9:00-20:00 tous les jours,,Public,$5 par session,,
Lot business hours,,,2020-04-10,,Public,84270,2015-05-15,LG,E,False,Town of Sidney - Third Street Parking Lot,250-656-1184,2021-06-07T17:08:43Z,PARKING_LOT,200-9,48.647902,-123.397546,Sidney,,9751 Third St,V8L 3A5,['J1772'],,,1.0,Non-Networked,,Free,,Heures d'ouverture du stationnement,,Public,Gratuit,,
24 hours daily,,,2019-10-10,,Public,84272,2012-03-15,P,E,False,Greater Victoria Public Library,250-652-4444,2021-06-07T17:08:43Z,LIBRARY,200-9,48.575792,-123.448599,Brentwood Bay,,1209 Clarke Rd,V8M 1P8,['J1772'],,,1.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2022-07-08,,Public,84335,2013-03-15,P,E,False,Kaatza Station Museum,250-749-6681,2023-04-10T20:30:18Z,MUSEUM,GPS,48.8230041274611,-124.0581083399505,Lake Cowichan,,125 S Shore Rd,V0R 2G0,['J1772'],,,1.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
6:30am-6pm M-F,,,2018-06-11,,Public,84339,2018-05-23,P,E,False,Lake City Centre,604-420-6322,2021-06-07T17:08:43Z,SHOPPING_CENTER,200-9,49.253827,-122.918052,Burnaby,,3292 Production Way,V5A 4R4,['J1772'],,,2.0,Non-Networked,,Free,,6:30-18:00 LUN-VEN,,Public,Gratuit,,
24 hours daily,,,2022-07-08,,Public,84361,2015-03-23,P,E,False,Madrona Marketplace West,250-739-0330,2023-04-10T20:30:18Z,SHOPPING_CENTER,200-9,49.174308,-123.849994,Gabriola,,"480, 490, and 500-510 North Rd",V0R 1X0,['J1772'],,,3.0,Non-Networked,,Free,,24 heures par jour,,Public,Gratuit,,
24 hours daily; Guest use prioritized,,,2022-09-14,,Public,84370,2013-03-23,P,E,False,Long Beach Lodge Resort,250-725-2442,2023-04-10T20:30:18Z,HOTEL,200-9,49.104783,-125.869648,Tofino,,1441 Pacific Rim Hwy,V0R 2Z0,['J1772'],,,2.0,Non-Networked,,Free for guests,,24 heures par jour; Utilisation par les clients prioritairet,,Public,Gratuit pour les clients,,
7:30am-5pm M-F,,,2022-07-08,,Public,84371,2013-03-23,P,E,False,Mott Electric,604-522-5757,2023-04-10T20:30:18Z,UTILITY,200-9,49.189319,-122.990965,Burnaby,,4599 Tillicum St,V5J 3J9,['J1772'],,,6.0,Non-Networked,,Free,,7:30-17:00 LUN-VEN,,Public,Gratuit,,
24 hours daily,,,2022-07-08,,Public,84373,2013-01-01,LG,E,False,Nar Park Art Gallery,250-784-3600,2023-04-10T20:30:18Z,MUSEUM,200-9,55.759366,-120.226434,Dawson Creek,Located in the NAR parking lot next to the traffic circle,816 Alaska Ave,V1G 4T6,['J1772'],,,1.0,Non-Networked,,Free,,24 heures par jour,"Situee dans le stationnement de NAR, a cote du carrefour giratoire",Public,Gratuit,,
24 hours daily; donation box available,CALL,,2022-02-10,,Public - Call ahead,84374,2013-03-31,P,E,False,North Coast Trail Backpackers Hostel,250-949-9441,2022-04-26T16:04:15Z,HOTEL,200-9,50.721869,-127.49116,Port Hardy,Unit 101,8635 Granville St,V0N 2P0,['J1772'],,,2.0,Non-Networked,,Free,,24 heures par jour; une boite de don disponible,Unité 101,Public - Appeler à l'avance,Gratuit,,
24 hours daily; for guest use only,,,2020-04-10,,Public,84382,2017-01-01,P,E,True,Port Alberni Hospitality Inn,250-723-8111,2022-04-28T20:01:31Z,HOTEL,200-9,49.245921,-124.791844,Port Alberni,,3835 Redford St,V9Y 3S2,['J1772'],,,1.0,Non-Networked,,Free,,Accessible 24 heures par jour; à l'usage des clients seulement,,Public,Gratuit,,
24 hours daily,,,2022-08-09,,Public,84384,2014-03-24,P,E,False,Pouce Coupe Municipal Office,250-786-5794,2023-04-10T20:30:18Z,MUNI_GOV,200-8,55.699996,-121.62995,Pouce Coupe,,5011 49th Ave,V0C 2C0,['J1772'],,,1.0,Non-Networked,,Free,,24 heures par jour,,Public,Gratuit,,
24 hours daily,CALL,,2022-04-13,,Public - Call ahead,84385,2013-01-15,P,E,False,Motorize Electric Vehicles,250-655-3534,2022-04-26T16:04:15Z,CAR_DEALER,200-9,48.65656,-123.415114,Sidney,Apt 203,2031 Malaview Ave,V8L 5X6,['J1772'],,,2.0,FLO,https://flo.ca/,Free,,Accessible 24 heures par jour,Apt. 203,Public - Appeler à l'avance,Gratuit,,
24 hours daily; for customer and guest use only,,,2023-03-08,,Public,84388,2015-03-15,P,E,True,Prestige Oceanfront Resort,250-642-0805,2023-04-10T20:30:18Z,HOTEL,200-9,48.367452,-123.730334,Sooke,,6929 W Coast Rd,V9Z 0V1,"['J1772', 'TESLA']",2.0,,1.0,Non-Networked,,Free,,24 heures par jour; Å  l'usage des clients seulement,,Public,Gratuit,,
7am-11pm daily,,,2022-07-08,,Public,84393,2015-05-15,P,E,False,Retasket Lodge and RV Park,250-256-2090,2023-04-10T20:30:18Z,RV_PARK,GPS,50.68332039357303,-121.9418050171967,Lillooet,,1264 Bouvette Rd,V0K 1V0,['J1772'],,,1.0,Non-Networked,,Free,,7:00-23:00 tous les jours,,Public,Gratuit,,
24 hours daily,,,2021-02-12,,Public,84427,2018-10-11,P,E,False,Beban Park Pool,250-756-5200,2022-04-07T18:54:45Z,PARK,200-8,49.194792,-123.993623,Nanaimo,,2300 Bowen Rd,V9T 3K7,['J1772'],,,2.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2022-07-08,,Public,84428,2013-03-29,P,E,False,City of Fernie,250-423-6817,2023-04-10T20:30:18Z,MUNI_GOV,200-9,49.503248,-115.061752,Fernie,,501 3rd Ave,V0B 1M0,['J1772'],,,1.0,Non-Networked,,Free,,24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2022-07-08,,Public,84467,2016-08-15,P,E,False,Excelsior Kitchens Limited,604-638-2699,2023-04-10T20:30:18Z,SHOPPING_CENTER,200-9,49.178153,-122.663562,Langley,,9640 201st St,V1M 3E8,['J1772'],,,1.0,Non-Networked,,Free,,24 heures par jour,,Public,Gratuit,,
5:30pm-8am M-F; available for public use outside of business hours,LIMITED_HOURS,,2020-07-13,,Public - Limited hours,84468,2014-03-15,P,E,True,HES PV,,2022-10-05T22:40:55Z,OFFICE_BLDG,200-9,48.429907,-123.38634,Victoria,,320 Mary St,V9A 3V9,['J1772'],,,1.0,Non-Networked,,Free,,17:30-8:00 LUN-VEN; accessible pour usage public en dehors des heures d'ouvertures,,Public - Heures limitées,Gratuit,,
24 hours daily,,,2020-03-05,,Public,84472,2015-09-15,P,E,False,Island Savings,250-537-5587,2021-06-07T17:08:43Z,BANK,200-9,48.852901,-123.501083,Salt Spring Island,,124 McPhillips Ave,V8K 2T5,['J1772'],,,1.0,Non-Networked,,Free,,Accessible 24 heures par jour,,Public,Gratuit,,
Dealership business hours,CALL,,2022-07-08,,Public - Call ahead,84480,2018-05-23,P,E,False,OpenRoad Audi,604-293-2834,2023-04-10T20:30:18Z,CAR_DEALER,200-8,49.265868,-123.02349,Burnaby,,3701 Lougheed Hwy,V5C 0J4,['J1772'],,,2.0,Non-Networked,,,,Heures d'ouverture de la concession,,Public - Appeler à l'avance,,,
24 hours daily; for guest use only,,,2022-09-14,,Public,84490,2015-03-15,P,E,True,Salt Spring Inn,250-537-9339,2023-04-10T20:30:18Z,INN,200-9,48.85369,-123.50207,Salt Spring Island,"West facing wall, about 5 meters from road",128 Hereford Ave,V8K 2T4,['J1772'],,,1.0,Non-Networked,,Free,,Accessible 24 heures par jour; Å  l'usage des clients seulement,"Le mur ouest, Å peu près 5 mètres de la rue",Public,Gratuit,,
24 hours daily,,,2021-08-03,,Public,84500,2015-12-01,P,E,False,TD Canada Trust,250-405-5260,2023-03-31T19:53:26Z,BANK,200-8,48.461281,-123.332957,Victoria,,3675 Shelbourne St,V8P 4H1,['J1772'],,,2.0,Non-Networked,,Free,,24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2023-04-05,,Public,84503,2012-03-15,P,E,False,Home Depot,604-675-1260,2023-04-10T20:30:18Z,SHOPPING_CENTER,200-9,49.264269,-123.114237,Vancouver,,2388 Cambie St,V5Z 2T8,['J1772'],,,4.0,Non-Networked,,"$3.50 per hour for first hour, $4 per hour after",,24 heures par jour,,Public,"$3,50 la première heure, $4 chaque heure supplémentaire",,
24 hours daily,,,2022-04-13,,Public,84505,2013-03-15,P,E,False,Royal Roads University,800-788-8028,2022-04-26T16:04:15Z,COLLEGE_CAMPUS,200-8,48.439725,-123.478025,Victoria,,2005 Sooke Rd,V9B 5Y2,['J1772'],,,2.0,Non-Networked,,Free; parking fee,,24 heures par jour,,Public,Gratuit; frais de stationnement,,
